task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error	Cond	Model	Open model	Difficulty	CC_prog	CC_sol
HEx60	Codestral-22B-v0.1	post	2	1	Q	Codestral	20	22.2	83	open	10	0.4	4	0.4	0.25	0.302765035409749	0.2	0.210818510677892	0	0	0.05	0.158113883008419	0.5	0.52704627669473	0.45	0.497214463005877	0.55	0.497214463005877	4	0.4	0.4375	10	1		5	5	Post	Codestral	Yes	Q	Low	Low
HEx65	Codestral-22B-v0.1	pre	3	2	S	Codestral	20	22.2	83	open	13	0.6	6	0.6	0.461538461538462	0.397229061149479	0.138461538461538	0.119168718344844	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Pre	Codestral	Yes	S	Low	Low
HEx65	Codestral-22B-v0.1	post	3	2	NQ	Codestral	20	22.2	83	open	24	0.1	1	0.1	0.129166666666667	0.272484284290278	0.0666666666666667	0.140545673785261	0	0	0	0	0.804166666666667	0.412969710125914	0.195833333333333	0.412969710125914	0.804166666666667	0.412969710125914	1	0.1	0.194117647058824	2	0.2	0.2	9	8	Post	Codestral	Yes	NQ	Low	Low
HEx74	Codestral-22B-v0.1	pre	5	4	Q	Codestral	20	22.2	83	open	9	0.4	4	0.4	0.177777777777778	0.229510124219699	0.233333333333333	0.27937810615772	0	0	0	0	0.588888888888889	0.507961308918332	0.411111111111111	0.507961308918332	0.588888888888889	0.507961308918332	4	0.4	0.4	5	0.5	0.5	6	5	Pre	Codestral	Yes	Q	Low	Low
HEx74	Codestral-22B-v0.1	post	5	4	Q	Codestral	20	22.2	83	open	16	0.3	3	0.3	0.25	0.322748612183951	0.13125	0.177878118384471	0.01875	0.0592927061281571	0	0	0.6	0.516397779494322	0.38125	0.495158854981577	0.61875	0.495158854981577	3	0.3	0.392307692307692	10	1		6	6	Post	Codestral	Yes	Q	Low	Low
HEx80	Codestral-22B-v0.1	post	6	5	Q	Codestral	20	22.2	83	open	16	0.2	2	0.2	0.2	0.277638854149295	0.15	0.193649167310371	0	0	0.05	0.120761472884912	0.6	0.516397779494322	0.35	0.463231403656243	0.65	0.463231403656243	2	0.2	0.342857142857143	10	1		6	6	Post	Codestral	Yes	Q	High	Low
HEx84	Codestral-22B-v0.1	pre	2	1	S	Codestral	20	22.2	83	open	8	0.8	8	0.8	0.5	0.263523138347365	0.3	0.158113883008419	0	0	0	0	0.2	0.421637021355784	0.8	0.421637021355784	0.2	0.421637021355784	8	0.8	0.8	8	0.8	0.8	2	2	Pre	Codestral	Yes	S	Low	Low
HEx84	Codestral-22B-v0.1	post	2	5	NQ	Codestral	20	22.2	83	open	13	0.5	5	0.5	0.376923076923077	0.333234699410969	0.153846153846154	0.16216808513684	0	0	0	0	0.469230769230769	0.495144072831293	0.530769230769231	0.495144072831293	0.469230769230769	0.495144072831293	5	0.5	0.5	9	0.9	0.9	5	1	Post	Codestral	Yes	NQ	Low	Low
HEx90	Codestral-22B-v0.1	pre	3	1	S	Codestral	20	22.2	83	open	50	0.5	5	0.5	0.36	0.379473319220205	0.14	0.147572957474524	0	0	0	0	0.5	0.52704627669473	0.5	0.52704627669473	0.5	0.52704627669473	5	0.5	0.5	5	0.5	0.5	5	5	Pre	Codestral	Yes	S	Low	Low
HEx90	Codestral-22B-v0.1	post	3	1	S	Codestral	20	22.2	83	open	42	0.6	6	0.6	0.485714285714286	0.41803629768588	0.114285714285714	0.0983614818084423	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Post	Codestral	Yes	S	Low	Low
HEx99	Codestral-22B-v0.1	pre	7	2	S	Codestral	20	22.2	83	open	15	0.3	3	0.3	0.306666666666667	0.141246654062851	0.246666666666667	0.247555954517931	0	0	0.0133333333333333	0.0421637021355784	0.433333333333333	0.386500602909469	0.553333333333333	0.371915296343564	0.446666666666667	0.371915296343564	3	0.3	0.39	8	0.8	0.88	6	1	Pre	Codestral	Yes	S	High	Low
HEx111	deepseek-coder-33b-instruct	post	8	10	QQ	DeepSeekCoder	19	33.3	125	open	17	0.1	1	0.1	0.0705882352941176	0.223219599541297	0.0411764705882353	0.0962583349696751	0	0	0	0	0.888235294117647	0.314276476943495	0.111764705882353	0.314276476943495	0.888235294117647	0.314276476943495	1	0.1	0.1125	1	0.1	0.1	9	8	Post	DeepSeekCoder	Yes	QQ	High	High
HEx127	deepseek-coder-33b-instruct	pre	4	2	Q	DeepSeekCoder	19	33.3	125	open	21	0.1	1	0.1	0.0714285714285714	0.225876975726313	0.0285714285714286	0.0903507902905251	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Pre	DeepSeekCoder	Yes	Q	Low	Low
HEx20	deepseek-coder-33b-instruct	pre	5	2	S	DeepSeekCoder	19	33.3	125	open	29	0.2	2	0.2	0.16551724137931	0.26799116176173	0.113793103448276	0.185374897320215	0	0	0	0	0.720689655172414	0.453243911816684	0.279310344827586	0.453243911816684	0.720689655172414	0.453243911816684	2	0.2	0.2	3	0.3	0.3	8	7	Pre	DeepSeekCoder	Yes	S	Low	Low
HEx45	deepseek-coder-33b-instruct	pre	1	2	S	DeepSeekCoder	19	33.3	125	open	10	0.1	1	0.1	0.05	0.158113883008419	0.05	0.158113883008419	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Pre	DeepSeekCoder	Yes	S	Low	Low
HEx45	deepseek-coder-33b-instruct	post	1	1	S	DeepSeekCoder	19	33.3	125	open	10	0.1	1	0.1	0.06	0.189736659610103	0.04	0.126491106406735	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	DeepSeekCoder	Yes	S	Low	Low
HEx74	deepseek-coder-33b-instruct	post	5	4	Q	DeepSeekCoder	19	33.3	125	open	16	0.1	1	0.1	0.0625	0.197642353760524	0.0375	0.118585412256314	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	10	1		9	9	Post	DeepSeekCoder	Yes	Q	Low	Low
HEx80	deepseek-coder-33b-instruct	post	6	5	Q	DeepSeekCoder	19	33.3	125	open	16	0.1	1	0.1	0.0625	0.197642353760524	0.0375	0.118585412256314	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	10	1		9	9	Post	DeepSeekCoder	Yes	Q	High	Low
HEx0	gemini-1.5-flash	post	5	4	QQ	Gemini1.5	18			proprietary	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	QQ	Low	Low
HEx101	gemini-1.5-flash	pre	9	7	NQ	Gemini1.5	18			proprietary	519	0.1	1	0.1	0.330250481695568	0.373280272778023	0.117533718689788	0.0112349747492202	0.0134874759152216	0.0112349747492202	0.538728323699422	0.373280272778023	0	0	0.447784200385356	0.372497065263073	0.552215799614644	0.372497065263073	1	0.1	0.616666666666667	1	0.1	0.443786982248521	0	0	Pre	Gemini1.5	No	NQ	High	High
HEx104	gemini-1.5-flash	pre	6	2	S	Gemini1.5	18			proprietary	25	1	10	1	0.24	0	0.76	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	High	Low
HEx104	gemini-1.5-flash	post	6	5	QQ	Gemini1.5	18			proprietary	15	0.6	6	0.6	0.6	0	0.346666666666667	0.0688530372659096	0.0533333333333333	0.0688530372659096	0	0	0	0	0.946666666666667	0.0688530372659096	0.0533333333333333	0.0688530372659096	6	0.6	0.96	10	1	1	0	0	Post	Gemini1.5	No	QQ	High	Low
HEx111	gemini-1.5-flash	pre	8	3	Q	Gemini1.5	18			proprietary	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	High	Low
HEx111	gemini-1.5-flash	post	8	10	QQ	Gemini1.5	18			proprietary	17	1	10	1	0.705882352941177	0	0.294117647058824	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	QQ	High	High
HEx114	gemini-1.5-flash	post	5	6	QQ	Gemini1.5	18			proprietary	28	0.4	4	0.4	0.635714285714286	0.129099444873581	0.214285714285714	0	0	0	0.15	0.129099444873581	0	0	0.85	0.129099444873581	0.15	0.129099444873581	4	0.4	0.836363636363636	4	0.4	0.815384615384615	0	0	Post	Gemini1.5	No	QQ	Low	High
HEx120	gemini-1.5-flash	pre	7	2	S	Gemini1.5	18			proprietary	56	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	High	Low
HEx127	gemini-1.5-flash	pre	4	2	Q	Gemini1.5	18			proprietary	21	0.4	4	0.4	0.685714285714286	0.0245903704521106	0.285714285714286	0	0	0	0.0285714285714286	0.0245903704521106	0	0	0.971428571428571	0.0245903704521106	0.0285714285714286	0.0245903704521106	4	0.4	0.88	10	1	1	0	0	Pre	Gemini1.5	No	Q	Low	Low
HEx127	gemini-1.5-flash	post	4	5	Q	Gemini1.5	18			proprietary	24	0.8	8	0.8	0.783333333333333	0.0175682092231576	0.208333333333333	0	0	0	0.00833333333333333	0.0175682092231577	0	0	0.991666666666667	0.0175682092231576	0.00833333333333333	0.0175682092231577	8	0.8	0.98	10	1	1	0	0	Post	Gemini1.5	No	Q	Low	Low
HEx13	gemini-1.5-flash	pre	5	3	Q	Gemini1.5	18			proprietary	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	Low	Low
HEx13	gemini-1.5-flash	post	5	4	QQ	Gemini1.5	18			proprietary	42	1	10	1	0.857142857142857	0	0.142857142857143	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	QQ	Low	Low
HEx132	gemini-1.5-flash	pre	7	3	Q	Gemini1.5	18			proprietary	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	High	Low
HEx132	gemini-1.5-flash	post	7	7	NQ	Gemini1.5	18			proprietary	15	0.6	6	0.6	0.553333333333333	0.0632455532033676	0.373333333333333	0.0344265186329548	0.0266666666666667	0.0344265186329548	0.0466666666666667	0.0632455532033676	0	0	0.926666666666667	0.0966091783079296	0.0733333333333333	0.0966091783079296	6	0.6	0.941666666666667	10	1	1	0	0	Post	Gemini1.5	No	NQ	High	High
HEx140	gemini-1.5-flash	post	6	13	NQ	Gemini1.5	18			proprietary	106	0.2	2	0.2	0.382075471698113	0.297606248347405	0.0490566037735849	0.00397770774863947	0.00754716981132075	0.00397770774863947	0.561320754716981	0.297606248347405	0	0	0.431132075471698	0.301560686024756	0.568867924528302	0.301560686024756	2	0.2	0.725	2	0.2	0.380434782608696	0	0	Post	Gemini1.5	No	NQ	High	High
HEx151	gemini-1.5-flash	post	4	5	QQ	Gemini1.5	18			proprietary	70	1	10	1	0.9	0	0.1	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	QQ	Low	Low
HEx16	gemini-1.5-flash	post	6	5	Q	Gemini1.5	18			proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	Q	High	Low
HEx160	gemini-1.5-flash	pre	8	4	Q	Gemini1.5	18			proprietary	16	1	10	1	0.3125	0	0.6875	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	High	Low
HEx161	gemini-1.5-flash	post	5	6	QQ	Gemini1.5	18			proprietary	13	1	10	1	0.615384615384615	0	0.384615384615385	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini1.5	No	QQ	Low	High
HEx20	gemini-1.5-flash	pre	5	2	S	Gemini1.5	18			proprietary	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx20	gemini-1.5-flash	post	5	3	QQ	Gemini1.5	18			proprietary	28	0.9	9	0.9	0.810714285714286	0.0338815463589469	0.178571428571429	0	0	0	0.0107142857142857	0.0338815463589469	0	0	0.989285714285714	0.0338815463589469	0.0107142857142857	0.0338815463589469	9	0.9	0.972727272727273	10	1	1	0	0	Post	Gemini1.5	No	QQ	Low	Low
HEx24	gemini-1.5-flash	post	3	2	Q	Gemini1.5	18			proprietary	35	1	10	1	0.828571428571429	0	0.171428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	Q	Low	Low
HEx30	gemini-1.5-flash	post	6	5	Q	Gemini1.5	18			proprietary	14	1	10	1	0.714285714285714	0	0.285714285714286	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini1.5	No	Q	High	Low
HEx37	gemini-1.5-flash	post	3	2	S	Gemini1.5	18			proprietary	43	1	10	1	0.86046511627907	0	0.13953488372093	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	S	Low	Low
HEx43	gemini-1.5-flash	post	8	8	QQ	Gemini1.5	18			proprietary	28	0.3	3	0.3	0.760714285714286	0.0172516389835588	0.178571428571429	0.0376461626210521	0.0357142857142857	0.0376461626210521	0.025	0.0172516389835589	0	0	0.939285714285714	0.0506477318718634	0.0607142857142857	0.0506477318718634	3	0.3	0.85	10	1	1	0	0	Post	Gemini1.5	No	QQ	High	High
HEx45	gemini-1.5-flash	pre	1	2	S	Gemini1.5	18			proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx45	gemini-1.5-flash	post	1	1	S	Gemini1.5	18			proprietary	10	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	S	Low	Low
HEx50	gemini-1.5-flash	post	2	3	NQ	Gemini1.5	18			proprietary	22	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	NQ	Low	Low
HEx60	gemini-1.5-flash	pre	2	1	S	Gemini1.5	18			proprietary	7	1	10	1	0.428571428571429	0	0.571428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx65	gemini-1.5-flash	pre	3	2	S	Gemini1.5	18			proprietary	13	1	10	1	0.769230769230769	0	0.230769230769231	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx65	gemini-1.5-flash	post	3	2	NQ	Gemini1.5	18			proprietary	24	0.9	9	0.9	0.645833333333333	0.0658807845868412	0.333333333333333	0	0	0	0.0208333333333333	0.0658807845868412	0	0	0.979166666666667	0.0658807845868413	0.0208333333333333	0.0658807845868412	9	0.9	0.970588235294118	10	1	1	0	0	Post	Gemini1.5	No	NQ	Low	Low
HEx74	gemini-1.5-flash	pre	5	4	Q	Gemini1.5	18			proprietary	9	1	10	1	0.444444444444444	0	0.555555555555556	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	Low	Low
HEx74	gemini-1.5-flash	post	5	4	Q	Gemini1.5	18			proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini1.5	No	Q	Low	Low
HEx80	gemini-1.5-flash	pre	6	2	Q	Gemini1.5	18			proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	Q	High	Low
HEx80	gemini-1.5-flash	post	6	5	Q	Gemini1.5	18			proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini1.5	No	Q	High	Low
HEx84	gemini-1.5-flash	pre	2	1	S	Gemini1.5	18			proprietary	8	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx84	gemini-1.5-flash	post	2	5	NQ	Gemini1.5	18			proprietary	13	1	10	1	0.692307692307692	0	0.307692307692308	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	NQ	Low	Low
HEx90	gemini-1.5-flash	pre	3	1	S	Gemini1.5	18			proprietary	50	1	10	1	0.72	0	0.28	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini1.5	No	S	Low	Low
HEx90	gemini-1.5-flash	post	3	1	S	Gemini1.5	18			proprietary	42	1	10	1	0.80952380952381	0	0.19047619047619	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini1.5	No	S	Low	Low
HEx99	gemini-1.5-flash	pre	7	2	S	Gemini1.5	18			proprietary	15	0.7	7	0.7	0.406666666666667	0.0966091783079296	0.533333333333333	0	0	0	0.06	0.0966091783079296	0	0	0.94	0.0966091783079296	0.06	0.0966091783079296	10	1	1	7	0.7	0.82	0	0	Pre	Gemini1.5	No	S	High	Low
HEx0	gemini-2.0-flash-exp	post	5	4	QQ	Gemini2.0				proprietary	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	QQ	Low	Low
HEx101	gemini-2.0-flash-exp	post	9	6	QQ	Gemini2.0				proprietary	463	0.3	3	0.3	0.959611231101512	0.0527089300328748	0.0140388768898488	0.00113832889134931	0.00107991360691145	0.00113832889134931	0.0252699784017279	0.0527089300328747	0	0	0.973650107991361	0.0527163046960749	0.0263498920086393	0.052716304696075	5	0.5	0.961538461538462	7	0.7	0.973825503355705	0	0	Post	Gemini2.0	No	QQ	High	High
HEx104	gemini-2.0-flash-exp	pre	6	2	S	Gemini2.0				proprietary	25	1	10	1	0.24	0	0.76	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	S	High	Low
HEx104	gemini-2.0-flash-exp	post	6	5	QQ	Gemini2.0				proprietary	15	0.9	9	0.9	0.6	0	0.386666666666667	0.0421637021355784	0.0133333333333333	0.0421637021355784	0	0	0	0	0.986666666666667	0.0421637021355784	0.0133333333333333	0.0421637021355784	9	0.9	0.99	10	1	1	0	0	Post	Gemini2.0	No	QQ	High	Low
HEx108	gemini-2.0-flash-exp	post	2	3	NQ	Gemini2.0				proprietary	12	1	10	1	0.583333333333333	0	0.416666666666667	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini2.0	No	NQ	Low	Low
HEx111	gemini-2.0-flash-exp	pre	8	3	Q	Gemini2.0				proprietary	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	Q	High	Low
HEx111	gemini-2.0-flash-exp	post	8	10	QQ	Gemini2.0				proprietary	17	1	10	1	0.705882352941177	0	0.294117647058824	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	QQ	High	High
HEx114	gemini-2.0-flash-exp	post	5	6	QQ	Gemini2.0				proprietary	28	1	10	1	0.785714285714286	0	0.214285714285714	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	QQ	Low	High
HEx120	gemini-2.0-flash-exp	pre	7	2	S	Gemini2.0				proprietary	56	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	S	High	Low
HEx120	gemini-2.0-flash-exp	post	7	8	NQ	Gemini2.0				proprietary	48	1	10	1	0.854166666666667	0	0.145833333333333	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	NQ	High	High
HEx127	gemini-2.0-flash-exp	pre	4	2	Q	Gemini2.0				proprietary	21	0.7	7	0.7	0.7	0.0230021853114118	0.285714285714286	0	0	0	0.0142857142857143	0.0230021853114118	0	0	0.985714285714286	0.0230021853114118	0.0142857142857143	0.0230021853114118	7	0.7	0.94	10	1	1	0	0	Pre	Gemini2.0	No	Q	Low	Low
HEx127	gemini-2.0-flash-exp	post	4	5	Q	Gemini2.0				proprietary	24	0.7	7	0.7	0.770833333333333	0.0354098577332832	0.208333333333333	0	0	0	0.0208333333333333	0.0354098577332832	0	0	0.979166666666667	0.0354098577332832	0.0208333333333333	0.0354098577332832	7	0.7	0.95	10	1	1	0	0	Post	Gemini2.0	No	Q	Low	Low
HEx13	gemini-2.0-flash-exp	pre	5	3	Q	Gemini2.0				proprietary	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	Q	Low	Low
HEx13	gemini-2.0-flash-exp	post	5	4	QQ	Gemini2.0				proprietary	42	0.4	4	0.4	0.571428571428571	0.301169300968417	0.128571428571429	0.0122951852260553	0.0119047619047619	0.012548720873684	0.285714285714286	0.301169300968417	0.00238095238095238	0.00752923252421043	0.7	0.31128922662898	0.3	0.31128922662898	4	0.4	0.711111111111111	5	0.5	0.67741935483871	1	0	Post	Gemini2.0	No	QQ	Low	Low
HEx132	gemini-2.0-flash-exp	pre	7	3	Q	Gemini2.0				proprietary	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	Q	High	Low
HEx132	gemini-2.0-flash-exp	post	7	7	NQ	Gemini2.0				proprietary	15	0.3	3	0.3	0.506666666666667	0.064406118871953	0.353333333333333	0.0322030594359766	0.0466666666666667	0.0322030594359765	0.0933333333333333	0.0644061188719531	0	0	0.86	0.0966091783079296	0.14	0.0966091783079296	3	0.3	0.825	10	1	1	0	0	Post	Gemini2.0	No	NQ	High	High
HEx136	gemini-2.0-flash-exp	post	11	13	NQ	Gemini2.0				proprietary	18	0.1	1	0.1	0.538888888888889	0.0457373667971425	0.388888888888889	0	0	0	0.0722222222222222	0.0457373667971425	0	0	0.927777777777778	0.0457373667971425	0.0722222222222222	0.0457373667971425	1	0.1	0.907142857142857	10	1		0	0	Post	Gemini2.0	No	NQ	High	High
HEx138	gemini-2.0-flash-exp	post	13	14	NQ	Gemini2.0				proprietary	49	0.3	3	0.3	0.808163265306122	0.0258145115115786	0.151020408163265	0.0258145115115786	0.0326530612244898	0.0258145115115786	0.00816326530612245	0.0258145115115786	0	0	0.959183673469388	0.0384820016972271	0.0408163265306122	0.0384820016972271	3	0.3	0.933333333333333	10	1	1	0	0	Post	Gemini2.0	No	NQ	High	High
HEx140	gemini-2.0-flash-exp	post	6	13	NQ	Gemini2.0				proprietary	106	1	10	1	0.943396226415094	0	0.0566037735849057	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	NQ	High	High
HEx151	gemini-2.0-flash-exp	post	4	5	QQ	Gemini2.0				proprietary	70	1	10	1	0.9	0	0.1	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	QQ	Low	Low
HEx16	gemini-2.0-flash-exp	post	6	5	Q	Gemini2.0				proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	Q	High	Low
HEx160	gemini-2.0-flash-exp	pre	8	4	Q	Gemini2.0				proprietary	16	1	10	1	0.3125	0	0.6875	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	Q	High	Low
HEx160	gemini-2.0-flash-exp	post	8	8	NQ	Gemini2.0				proprietary	17	0.1	1	0.1	0.270588235294118	0.222183772144554	0.123529411764706	0.119108569007745	0.0176470588235294	0.0558048998853243	0.252941176470588	0.20574224924823	0.335294117647059	0.436731419695064	0.394117647058824	0.32462677827766	0.605882352941176	0.32462677827766	1	0.1	0.373333333333333	10	1		5	2	Post	Gemini2.0	No	NQ	High	High
HEx161	gemini-2.0-flash-exp	post	5	6	QQ	Gemini2.0				proprietary	13	1	10	1	0.615384615384615	0	0.384615384615385	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Gemini2.0	No	QQ	Low	High
HEx20	gemini-2.0-flash-exp	pre	5	2	S	Gemini2.0				proprietary	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	S	Low	Low
HEx20	gemini-2.0-flash-exp	post	5	3	QQ	Gemini2.0				proprietary	28	1	10	1	0.821428571428571	0	0.178571428571429	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	QQ	Low	Low
HEx24	gemini-2.0-flash-exp	post	3	2	Q	Gemini2.0				proprietary	35	1	10	1	0.828571428571429	0	0.171428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Gemini2.0	No	Q	Low	Low
HEx30	gemini-2.0-flash-exp	post	6	5	Q	Gemini2.0				proprietary	14	0.8	8	0.8	0.678571428571429	0.0906639655459989	0.278571428571429	0.0225876975726313	0	0	0.00714285714285714	0.0225876975726313	0.0357142857142857	0.112938487863156	0.957142857142857	0.112687233963802	0.0428571428571429	0.112687233963802	8	0.8	0.954545454545455	10	1		1	0	Post	Gemini2.0	No	Q	High	Low
HEx37	gemini-2.0-flash-exp	post	3	2	S	Gemini2.0				proprietary	43	0.6	6	0.6	0.86046511627907	0	0.12093023255814	0.0240185013718289	0.0186046511627907	0.0240185013718289	0	0	0	0	0.981395348837209	0.0240185013718289	0.0186046511627907	0.0240185013718289	6	0.6	0.966666666666667	10	1	1	0	0	Post	Gemini2.0	No	S	Low	Low
HEx43	gemini-2.0-flash-exp	post	8	8	QQ	Gemini2.0				proprietary	28	0.1	1	0.1	0.592857142857143	0.0677630927178939	0.214285714285714	0	0	0	0.192857142857143	0.0677630927178938	0	0	0.807142857142857	0.0677630927178939	0.192857142857143	0.0677630927178938	1	0.1	0.8875	1	0.1	0.75	0	0	Post	Gemini2.0	No	QQ	High	High
HEx45	gemini-2.0-flash-exp	pre	1	2	S	Gemini2.0				proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Gemini2.0	No	S	Low	Low
